Country Name,Country Code,region,"2020 [YR2020] - GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]","2020 [YR2020] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","2020 [YR2020] - Physicians (per 1,000 people) [SH.MED.PHYS.ZS]","2020 [YR2020] - Population, total [SP.POP.TOTL]","2020 [YR2020] - Population ages 65 and above, total [SP.POP.65UP.TO]",2020 [YR2020] - Population density (people per sq. km of land area) [EN.POP.DNST],2020 [YR2020] - Proportion of people living below 50 percent of median income (%) [SI.DST.50MD],2020 [YR2020] - Rural population (% of total population) [SP.RUR.TOTL.ZS],2020 [YR2020] - Urban population (% of total population) [SP.URB.TOTL.IN.ZS],2020 [YR2020] - Prevalence of current tobacco use (% of adults) [SH.PRV.SMOK],"2020 [YR2020] - Prevalence of current tobacco use, females (% of female adults) [SH.PRV.SMOK.FE]","2020 [YR2020] - Prevalence of current tobacco use, males (% of male adults) [SH.PRV.SMOK.MA]","2020 [YR2020] - Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]","2020 [YR2020] - Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative) [SE.SEC.CUAT.UP.ZS]",2020 [YR2020] - Domestic general government health expenditure (% of GDP) [SH.XPD.GHED.GD.ZS],"2020 [YR2020] - Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]"
Afghanistan,AFG,South Asia,2078.595086,62.575,0.2538,38972230,941940,59.75228064,..,73.974,26.026,23.3,7.2,39.4,..,..,1.18621242,11.71
Albania,ALB,Europe & Central Asia,14064.03861,76.989,1.8754,2837849,449008,103.5711314,9.6,37.888,62.112,22.4,6,38.8,3.342299938,..,2.93465567,..
Algeria,DZA,Middle East & North Africa,11452.22662,74.453,..,43451666,2614691,18.24365706,..,26.267,73.733,21,0.7,41.3,7.042397499,..,3.95616674,..
American Samoa,ASM,East Asia & Pacific,..,..,..,46189,2981,230.945,..,12.847,87.153,..,..,..,..,..,..,..
Andorra,AND,Europe & Central Asia,..,..,..,77700,11030,165.3191489,..,12.084,87.916,31.8,28.3,35.3,2.856162786,..,6.62333536,..
Angola,AGO,Sub-Saharan Africa,6367.437317,62.261,..,33428486,865789,26.81357664,..,33.175,66.825,..,..,..,2.744996548,..,1.22474134,..
Antigua and Barbuda,ATG,Latin America & Caribbean,19839.92559,78.841,..,92664,9085,210.6,..,75.567,24.433,..,..,..,..,..,3.38136292,..
Argentina,ARG,Latin America & Caribbean,20787.85787,75.892,4.0596,45376763,5321539,16.58089261,21.2,7.889,92.111,24.5,19.6,29.4,5.279640198,..,6.6165266,11.46
Armenia,ARM,Europe & Central Asia,14105.91125,72.173,..,2805608,348117,98.54611872,4.6,36.687,63.313,25.5,1.5,49.4,2.705559969,89.88085938,2.35682821,12.18
Aruba,ABW,Latin America & Caribbean,35012.39147,75.723,..,106585,15921,592.1388889,..,56.303,43.697,..,..,..,..,..,..,..
Australia,AUS,East Asia & Pacific,53066.49099,83.2,4.1292,25655289,4164775,3.335312311,..,13.759,86.241,13.6,11.5,15.6,5.608449936,80.05303192,7.99613142,6.46
Austria,AUT,Europe & Central Asia,57258.69023,81.19268293,5.2933,8916864,1707529,108.0570044,11,41.252,58.748,26.4,25,27.7,5.569009781,..,8.763134,5.2
Azerbaijan,AZE,Europe & Central Asia,14495.65697,66.868,..,10093121,653178,122.1247368,..,43.603,56.397,24,0.1,47.9,4.332049847,..,1.58928382,7.24
"Bahamas, The",BHS,Latin America & Caribbean,27224.47086,72.677,..,406471,33651,40.60649351,..,16.755,83.245,10.6,2.4,18.8,2.866807222,..,4.59830189,..
Bahrain,BHR,Middle East & North Africa,50682.75956,79.174,..,1477469,47236,1882.126115,..,10.494,89.506,14.9,4.5,25.3,2.552374601,68.73667908,2.96118394,..
Bangladesh,BGD,South Asia,5904.567375,71.968,0.6672,167420951,9430760,1286.171553,..,61.823,38.177,34.7,17.1,52.2,1.765280604,..,0.47426897,..
Barbados,BRB,Latin America & Caribbean,14579.09038,77.393,..,280693,42543,652.7744186,..,68.809,31.191,8.5,1.9,15,4.202179909,..,3.74926305,..
Belarus,BLR,Europe & Central Asia,20317.23192,72.45721951,..,9379952,1552638,46.21121293,3.9,20.517,79.483,30.5,13.5,47.4,4.862639904,..,4.54088545,4.05
Belgium,BEL,Europe & Central Asia,54569.92539,80.69512195,..,11538604,2216291,381.0635403,7.9,1.921,98.079,23.4,21,25.8,6.812329769,..,8.75983047,5.55
Belize,BLZ,Latin America & Caribbean,8134.598272,72.854,..,394921,18979,17.31350285,..,53.975,46.025,8.5,1.8,15.1,5.152190208,43.28562927,4.97494507,..
Benin,BEN,Sub-Saharan Africa,3364.973218,60.088,..,12643123,390528,112.1241841,..,51.585,48.415,6.9,1.9,11.8,2.939019918,..,0.86860555,..
Bermuda,BMU,North America,80381.44549,81.136,..,63893,12154,1183.203704,..,0,100,..,..,..,1.890087724,..,..,..
Bhutan,BTN,South Asia,11137.831,71.609,0.499,772506,46598,20.25448348,..,57.684,42.316,..,..,..,5.980710506,..,3.4102993,5.03
Bolivia,BOL,Latin America & Caribbean,8110.114756,64.467,..,11936162,594231,11.01833472,17.9,29.877,70.123,12.7,4.8,20.5,8.437109947,50.47999954,5.64873314,7.9
Bosnia and Herzegovina,BIH,Europe & Central Asia,15860.10452,76.225,..,3318407,588780,64.81263672,..,50.98,49.02,35,28,42,..,69.08618164,6.8357625,15.87
Botswana,BWA,Sub-Saharan Africa,14303.93611,65.647,..,2546402,90356,4.493148413,..,29.123,70.877,19.4,8.3,30.4,8.058336258,..,4.6217618,21.02
Brazil,BRA,Latin America & Caribbean,14900.10422,74.009,..,213196304,19807547,25.50762538,18.3,12.927,87.073,12.8,9.4,16.2,5.771500111,52.88999939,4.6151557,13.7
British Virgin Islands,VGB,Latin America & Caribbean,..,75.849,..,30910,2805,206.0666667,..,51.485,48.515,..,..,..,2.590500116,..,..,..
Brunei Darussalam,BRN,East Asia & Pacific,65054.19432,74.795,..,441725,24147,83.81878558,..,21.75,78.25,16.2,2.3,30,..,..,2.25119257,7.41
Bulgaria,BGR,Europe & Central Asia,25296.07094,73.65853659,..,6934015,1543867,63.87265107,13,24.314,75.686,39,37.1,40.9,4.502870083,77.77819824,5.09874439,5.12
Burkina Faso,BFA,Sub-Saharan Africa,2211.01144,59.731,..,21522626,551283,78.66456871,..,69.393,30.607,14.3,6.4,22.1,5.150865078,..,2.92014813,..
Burundi,BDI,Sub-Saharan Africa,751.2009119,61.566,0.0717,12220227,301439,475.8655374,..,86.292,13.708,11.8,6.1,17.4,5.321585178,..,2.40413046,1.03
Cabo Verde,CPV,Sub-Saharan Africa,6577.306014,74.808,..,582640,31278,144.5756824,..,33.348,66.652,11.4,5.4,17.3,..,..,3.70396852,..
Cambodia,KHM,East Asia & Pacific,4515.709506,70.416,..,16396860,864539,92.88953093,..,75.768,24.232,21.1,6,36.1,3.002350092,..,2.07794261,0.17
Cameroon,CMR,Sub-Saharan Africa,3870.829433,60.833,..,26491087,725057,56.04088553,..,42.44,57.56,7.3,1.4,13.2,3.103901386,..,0.61334801,..
Canada,CAN,North America,47226.36514,81.6704878,..,38007166,6848293,4.23922642,..,18.438,81.562,13,10.7,15.3,4.887949944,..,9.70065022,9.66
Cayman Islands,CYM,Latin America & Caribbean,71313.3386,..,..,67311,5067,280.4625,..,0,100,..,..,..,..,..,..,..
Central African Republic,CAF,Sub-Saharan Africa,895.2514772,54.604,..,5343020,132447,8.576551414,..,57.802,42.198,..,..,..,2.1446805,..,1.21621466,..
Chad,TCD,Sub-Saharan Africa,1572.601587,52.777,0.0611,16644701,338326,13.21847284,..,76.48,23.52,8.3,2.7,13.8,2.739603996,..,0.93004119,..
Channel Islands,CHI,Europe & Central Asia,..,81.264,..,171113,27891,864.2070707,..,69.037,30.963,..,..,..,..,..,..,..
Chile,CHL,Latin America & Caribbean,24941.23509,79.377,2.8351,19300315,2392386,25.95761178,14.1,12.273,87.727,29.2,26.8,31.6,5.62514019,63.27000046,5.50038815,10.94
China,CHN,East Asia & Pacific,17209.44295,78.077,..,1411100000,177774074,150.3055428,..,38.572,61.428,25.6,1.7,49.4,3.572956324,..,3.06103563,5.61
Colombia,COL,Latin America & Caribbean,15103.07382,74.769,2.327,50930662,4315004,45.90415683,22.2,18.575,81.425,8.5,4.6,12.4,5.265500069,53.15999985,6.53422785,15.98
Comoros,COM,Sub-Saharan Africa,3402.871222,64.166,..,806166,34939,433.189683,..,70.62,29.38,20.3,11.1,29.5,2.378050804,..,0.77381098,..
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,1102.553518,59.739,..,92853164,2786255,40.95770451,..,54.362,45.638,12.8,2.9,22.7,2.622638464,..,0.65065557,1.47
"Congo, Rep.",COG,Sub-Saharan Africa,3574.241387,63.785,..,5702174,150973,16.69743485,..,32.171,67.829,14.5,2.1,26.8,4.619013786,..,1.92865789,..
Costa Rica,CRI,Latin America & Caribbean,21693.67282,79.277,3.3005,5123105,523496,100.334998,20.3,19.229,80.771,8.8,4.6,12.9,6.62898016,38.66999817,5.64065933,16.43
Cote d'Ivoire,CIV,Sub-Saharan Africa,5377.394446,59.032,..,26811790,645851,84.31380503,..,48.294,51.706,9.4,0.9,17.9,3.78944993,..,1.36828649,..
Croatia,HRV,Europe & Central Asia,29690.15368,77.72439024,..,4047680,873121,72.33166548,11.6,42.447,57.553,36.9,36.1,37.6,4.434420109,..,6.35798836,7.51
Cuba,CUB,Latin America & Caribbean,..,77.567,..,11300698,1757463,108.8699229,..,22.806,77.194,17.9,10.3,25.5,11.52479649,..,11.36566067,..
Curacao,CUW,Latin America & Caribbean,20705.71691,..,..,154947,22075,348.9797297,..,10.938,89.062,..,..,..,7.725708485,51.00973892,..,19.07
Cyprus,CYP,Europe & Central Asia,41425.92578,81.391,..,1237537,175167,133.9325758,7.1,33.179,66.821,35.1,23.2,47,5.686289787,74.47016144,6.33430815,7.76
Czechia,CZE,Europe & Central Asia,42827.06001,78.22682927,4.1533,10697858,2157212,138.5759288,5.6,25.939,74.061,30.7,26.4,35,4.721590042,..,8.07736492,2.55
Denmark,DNK,Europe & Central Asia,60832.15829,81.60243902,..,5831404,1169017,145.7851,6.8,11.884,88.116,17.5,17.1,17.8,7.389110088,79.32193756,8.93393898,5.64
Djibouti,DJI,Middle East & North Africa,5020.17079,62.694,..,1090156,48594,47.03002588,..,21.938,78.062,..,..,..,..,..,1.00633943,..
Dominica,DMA,Latin America & Caribbean,10830.22422,73.649,..,71995,6604,95.99333333,..,28.91,71.09,..,..,..,4.69630003,..,3.51634693,..
Dominican Republic,DOM,Latin America & Caribbean,17707.68789,72.889,..,10999664,766125,231.4208411,13.6,17.46,82.54,10.6,6.5,14.6,4.517698288,41.86999893,3.24332738,6.13
Ecuador,ECU,Latin America & Caribbean,10937.10677,72.153,..,17588595,1326911,70.81895233,20.1,35.834,64.166,11.3,4.2,18.4,4.114019871,43.34999847,4.9700942,6.13
"Egypt, Arab Rep.",EGY,Middle East & North Africa,12661.1812,70.99,..,107465134,5060221,107.9563353,..,57.217,42.783,24.3,0.4,48.1,..,..,1.39357793,7.97
El Salvador,SLV,Latin America & Caribbean,8760.296904,71.061,..,6292731,509949,303.7032336,..,26.556,73.444,7.9,1.7,14.1,3.659579992,34.38999939,5.83388329,5.01
Equatorial Guinea,GNQ,Sub-Saharan Africa,15980.00074,60.708,..,1596049,50540,56.9001426,..,26.9,73.1,..,..,..,..,..,0.84460056,..
Eritrea,ERI,Sub-Saharan Africa,..,67.133,0.0821,3555868,142113,29.37742603,..,58.653,41.347,7.5,0.2,14.7,..,..,0.84649795,..
Estonia,EST,Europe & Central Asia,39441.84908,78.59512195,..,1329522,268313,31.09992982,9.2,30.771,69.229,29.7,23,36.3,5.519929886,85.75520325,5.97475481,6.8
Eswatini,SWZ,Sub-Saharan Africa,8754.786047,59.692,0.1422,1180655,46609,68.64273256,..,75.829,24.171,9.2,1.8,16.5,5.360104561,..,3.44377804,..
Ethiopia,ETH,Sub-Saharan Africa,2379.447888,65.371,0.1059,117190911,3668189,103.8400628,..,78.305,21.695,5.1,1.3,8.8,4.090565205,..,0.98278511,..
Faroe Islands,FRO,Europe & Central Asia,..,83.19756098,..,52415,9334,38.37115666,..,57.602,42.398,..,..,..,..,..,..,..
Fiji,FJI,East Asia & Pacific,11581.22331,67.924,..,920422,50985,50.37887247,..,42.753,57.247,23.1,10.5,35.6,5.747410774,..,2.56945491,..
Finland,FIN,Europe & Central Asia,52305.28931,81.93170732,..,5529543,1243599,18.19287688,6.6,14.483,85.517,21.6,16.3,26.9,6.634940147,..,7.81982374,7.76
France,FRA,Europe & Central Asia,48134.95979,82.17560976,..,67571107,14196384,123.4046994,11.1,19.025,80.975,33.4,31.9,34.9,5.677840233,..,9.36361694,8.01
French Polynesia,PYF,East Asia & Pacific,..,82.217,..,301920,27890,86.98357822,..,38.025,61.975,..,..,..,..,..,..,..
Gabon,GAB,Sub-Saharan Africa,14682.06377,66.531,..,2292573,89511,8.897322156,..,9.908,90.092,..,..,..,3.398740768,..,1.89980304,..
"Gambia, The",GMB,Sub-Saharan Africa,2157.035033,62.612,0.0823,2573995,63192,254.347332,12.7,37.418,62.582,11.1,0.8,21.4,2.887345791,20.25968933,1.36467004,..
Georgia,GEO,Europe & Central Asia,14748.63211,72.765,5.1085,3722716,539853,65.13027048,14,40.547,59.453,31.7,7.1,56.3,3.849859238,..,2.77793884,11.73
Germany,DEU,Europe & Central Asia,56482.47563,81.04146341,4.4348,83160871,18265233,238.0173188,..,22.547,77.453,22,19.9,24.1,5.587590218,83.69612885,10.05796528,3.86
Ghana,GHA,Sub-Saharan Africa,5558.356264,64.114,0.1701,32180401,1095906,141.4317967,..,42.651,57.349,3.5,0.3,6.6,3.409159899,..,1.98434043,..
Gibraltar,GIB,Europe & Central Asia,..,82.198,..,32709,6556,3270.9,..,0,100,..,..,..,..,..,..,..
Greece,GRC,Europe & Central Asia,28416.5239,81.28780488,..,10698599,2373101,82.99921645,15,20.285,79.715,33.5,30.5,36.5,4.497175217,65.26870728,5.13178682,15.9
Greenland,GRL,Europe & Central Asia,..,71.63682927,..,56367,5066,0.13732976,..,12.718,87.282,..,..,..,..,..,..,..
Grenada,GRD,Latin America & Caribbean,13913.53161,74.924,..,123663,11977,363.7147059,..,63.463,36.537,..,..,..,..,..,2.28805852,..
Guam,GUM,East Asia & Pacific,..,76.612,..,169231,18802,313.3907407,..,5.062,94.938,..,..,..,..,..,..,..
Guatemala,GTM,Latin America & Caribbean,8859.01174,71.797,1.2407,16858333,817727,157.3192703,..,48.164,51.836,10.9,1.6,20.1,3.295030117,..,2.47590232,..
Guinea,GIN,Sub-Saharan Africa,2749.983505,59.327,..,13205153,447234,53.74065196,..,63.125,36.875,..,..,..,2.432670116,..,0.9703269,..
Guinea-Bissau,GNB,Sub-Saharan Africa,1904.658634,59.999,0.1956,2015828,56431,71.68662873,..,55.804,44.196,9,0.9,17,..,..,0.71145356,..
Guyana,GUY,Latin America & Caribbean,19462.93436,68.486,1.4238,797202,48207,4.04979426,..,73.214,26.786,12.1,2.4,21.7,..,..,4.01893854,..
Haiti,HTI,Latin America & Caribbean,3136.849494,64.052,..,11306801,501243,410.2612845,..,42.912,57.088,7.7,3.1,12.2,1.37101388,..,0.40528839,..
Honduras,HND,Latin America & Caribbean,5309.790178,71.462,0.5001,10121763,416732,90.46173027,..,41.641,58.359,..,..,..,5.97629118,..,3.43717003,10.68
"Hong Kong SAR, China",HKG,East Asia & Pacific,59022.83555,85.49756098,..,7481000,1403467,7124.761905,..,0,100,..,..,..,4.405620098,..,..,5.81
Hungary,HUN,Europe & Central Asia,34169.92228,75.56829268,..,9750149,1959532,106.8392395,10,28.058,71.942,31.8,27.8,35.8,4.155210018,80.0114975,5.15515757,4.25
Iceland,ISL,Europe & Central Asia,54303.90417,83.06341463,..,366463,53400,3.634463949,..,6.102,93.898,12,12,11.9,8.614439964,74.14498138,7.96202517,5.48
India,IND,South Asia,6517.761388,70.15,0.7352,1396387127,93171419,469.6595667,..,65.074,34.926,27.2,13,41.3,4.293349743,31.70944977,1.08449912,7.86
Indonesia,IDN,East Asia & Pacific,12160.71676,68.808,0.6228,271857970,18240362,144.7963882,..,43.359,56.641,37.6,3.7,71.4,3.491024733,38.10226059,1.87949932,4.25
"Iran, Islamic Rep.",IRN,Middle East & North Africa,15240.77291,74.832,..,87290193,6204285,53.79981079,..,24.126,75.874,13.6,3.1,24.1,3.204950094,..,2.87576437,9.69
Iraq,IRQ,Middle East & North Africa,9343.734411,69.123,0.9663,42556984,1448156,98.02865514,..,29.107,70.893,18.5,1.8,35.1,..,..,2.78829455,..
Ireland,IRL,Europe & Central Asia,93942.60575,82.55609756,3.4896,4985382,725091,72.36728117,6.2,36.347,63.653,20.8,19,22.5,3.271859884,..,5.597785,5.62
Isle of Man,IMN,Europe & Central Asia,..,80.588,..,84046,18359,147.4491228,..,47.102,52.898,..,..,..,..,..,..,..
Israel,ISR,Middle East & North Africa,40219.26852,82.64878049,3.6259,9215100,1087906,425.836414,..,7.413,92.587,21.2,13.5,28.9,6.462299824,..,5.89272499,4.17
Italy,ITA,Europe & Central Asia,43144.40642,82.19512195,3.9477,59438851,13892091,200.9991005,15.6,28.961,71.039,23.1,19.5,26.6,4.441949844,52.4560318,7.32908154,9.16
Jamaica,JAM,Latin America & Caribbean,9724.163469,71.869,..,2820436,198631,260.4280702,..,43.689,56.311,9.4,3.8,15,5.61749506,..,4.49590921,6.5
Japan,JPN,East Asia & Pacific,41683.91558,84.56,..,126261000,37352017,346.3950617,..,8.218,91.782,20.1,10,30.1,3.416980982,85.17671204,9.18607235,2.81
Jordan,JOR,Middle East & North Africa,9698.43367,75.184,..,10928721,394798,123.0794986,..,8.582,91.418,34.8,12.8,56.8,..,50.2436409,3.71250176,19.21
Kazakhstan,KAZ,Europe & Central Asia,26782.10018,71.37,4.0712,18755666,1471205,6.947314887,..,42.329,57.671,23.2,6.7,39.6,4.446203709,..,2.50674272,4.89
Kenya,KEN,Sub-Saharan Africa,4749.276967,62.675,..,51985780,1457202,91.34093545,10.4,72.005,27.995,11.1,2.7,19.5,4.628155708,29.37517929,2.03427505,..
Kiribati,KIR,East Asia & Pacific,2003.323401,67.266,..,126463,4661,156.1271605,..,44.406,55.594,40.6,27.3,53.9,..,..,9.29323101,10.97
